seed,layer,alpha,position_mode,direction_family,direction_id,heldout_blocks,heldout_countries,mean_delta_avg_token_margin,baseline_pairwise_accuracy,pairwise_avg_accuracy,pairwise_accuracy_change,sign_flips,wrong_to_correct_flips,correct_to_wrong_flips,mean_baseline_avg_token_margin,mean_avg_token_margin
0,6,4.0,prompt-final-only,learned_probe,learned_probe,12,24,0.1101735619382143,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.5007122269840747
0,6,4.0,prompt-final-only,random_direction,random_00,12,24,0.06456852798358642,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.4551071930294466
0,6,4.0,prompt-final-only,random_direction,random_01,12,24,-0.007397853819379463,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.3831408112264807
0,6,4.0,prompt-final-only,random_direction,random_02,12,24,0.09586644824022035,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.486405113286081
0,6,4.0,prompt-final-only,random_direction,random_03,12,24,-0.01668841361585453,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.3738502514300057
0,6,4.0,prompt-final-only,random_direction,random_04,12,24,0.004321751832538061,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.3948604168783985
0,6,4.0,prompt-final-only,random_direction,random_05,12,24,-0.03650719550176499,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.3540314695440956
0,6,4.0,prompt-final-only,random_direction,random_06,12,24,-0.024331850056716082,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.366206814989144
0,6,4.0,prompt-final-only,random_direction,random_07,12,24,0.002241213481091279,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.3927798785269516
0,6,4.0,prompt-final-only,random_direction,random_08,12,24,0.07065236119392972,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.4611910262397902
0,6,4.0,prompt-final-only,random_direction,random_09,12,24,-0.03619659403120876,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.3543420710146514
0,6,4.0,prompt-final-only,label_permutation,permutation_00,12,24,0.0008076042179001967,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.3913462692637606
0,6,4.0,prompt-final-only,label_permutation,permutation_01,12,24,-0.030100804998861957,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.3604378600469986
0,6,4.0,prompt-final-only,label_permutation,permutation_02,12,24,-0.0475129253087753,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.3430257397370853
0,6,4.0,prompt-final-only,label_permutation,permutation_03,12,24,-0.0917324493013404,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.29880621574452
0,6,4.0,prompt-final-only,label_permutation,permutation_04,12,24,-0.04785555089034057,0.7916666666666666,0.7916666666666666,0.0,0,0,0,2.3905386650458604,2.3426831141555198
1,6,4.0,prompt-final-only,learned_probe,learned_probe,12,24,0.09638528563435662,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.1542749207735445
1,6,4.0,prompt-final-only,random_direction,random_00,12,24,-0.05597583352581651,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.0019138016133717
1,6,4.0,prompt-final-only,random_direction,random_01,12,24,0.03824772379743487,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.096137358936623
1,6,4.0,prompt-final-only,random_direction,random_02,12,24,-0.07880224929886788,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,1.9790873858403202
1,6,4.0,prompt-final-only,random_direction,random_03,12,24,0.006413751640391448,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.0643033867795793
1,6,4.0,prompt-final-only,random_direction,random_04,12,24,-0.05067149807282484,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.007218137066363
1,6,4.0,prompt-final-only,random_direction,random_05,12,24,-0.03455052948106389,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.023339105658124
1,6,4.0,prompt-final-only,random_direction,random_06,12,24,0.050286347195351,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.1081759823345387
1,6,4.0,prompt-final-only,random_direction,random_07,12,24,-0.0693279445153065,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,1.9885616906238814
1,6,4.0,prompt-final-only,random_direction,random_08,12,24,-0.040926360175338516,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.0169632749638495
1,6,4.0,prompt-final-only,random_direction,random_09,12,24,-0.011623126535667161,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.0462665086035208
1,6,4.0,prompt-final-only,label_permutation,permutation_00,12,24,0.030010030768802504,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.0878996659079903
1,6,4.0,prompt-final-only,label_permutation,permutation_01,12,24,0.04218773739078696,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.100077372529975
1,6,4.0,prompt-final-only,label_permutation,permutation_02,12,24,-0.014868749831804159,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.0430208853073837
1,6,4.0,prompt-final-only,label_permutation,permutation_03,12,24,-0.0552148528293401,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.002674782309848
1,6,4.0,prompt-final-only,label_permutation,permutation_04,12,24,0.05039896585185485,0.6666666666666666,0.6666666666666666,0.0,0,0,0,2.057889635139188,2.1082886009910426
2,6,4.0,prompt-final-only,learned_probe,learned_probe,12,24,0.11901247909111896,0.7083333333333334,0.75,0.04166666666666663,1,1,0,2.2443461631742134,2.3633586422653328
2,6,4.0,prompt-final-only,random_direction,random_00,12,24,-0.06910830052641663,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.1752378626477973
2,6,4.0,prompt-final-only,random_direction,random_01,12,24,-0.0015198096386181599,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.242826353535596
2,6,4.0,prompt-final-only,random_direction,random_02,12,24,0.04282022828611939,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.287166391460333
2,6,4.0,prompt-final-only,random_direction,random_03,12,24,-0.01758169677764776,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.2267644663965664
2,6,4.0,prompt-final-only,random_direction,random_04,12,24,-0.051365213827971844,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.192980949346242
2,6,4.0,prompt-final-only,random_direction,random_05,12,24,0.0018281745891221741,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.246174337763336
2,6,4.0,prompt-final-only,random_direction,random_06,12,24,0.008645365710496344,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.2529915288847104
2,6,4.0,prompt-final-only,random_direction,random_07,12,24,-0.13623206515238862,0.7083333333333334,0.6666666666666666,-0.04166666666666674,1,0,1,2.2443461631742134,2.1081140980218254
2,6,4.0,prompt-final-only,random_direction,random_08,12,24,0.013525287828946983,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.257871451003161
2,6,4.0,prompt-final-only,random_direction,random_09,12,24,0.003622674028196752,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.2479688372024107
2,6,4.0,prompt-final-only,label_permutation,permutation_00,12,24,0.015616116678888329,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.2599622798531023
2,6,4.0,prompt-final-only,label_permutation,permutation_01,12,24,0.07331393975525018,0.7083333333333334,0.75,0.04166666666666663,1,1,0,2.2443461631742134,2.317660102929464
2,6,4.0,prompt-final-only,label_permutation,permutation_02,12,24,-0.006262106980082375,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.2380840561941313
2,6,4.0,prompt-final-only,label_permutation,permutation_03,12,24,-0.028229099750306963,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.2161170634239067
2,6,4.0,prompt-final-only,label_permutation,permutation_04,12,24,0.001798169676840174,0.7083333333333334,0.7083333333333334,0.0,0,0,0,2.2443461631742134,2.246144332851054
3,6,4.0,prompt-final-only,learned_probe,learned_probe,12,24,0.1499111368620005,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.702859005369747
3,6,4.0,prompt-final-only,random_direction,random_00,12,24,-0.024617800214602692,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.5283300682931444
3,6,4.0,prompt-final-only,random_direction,random_01,12,24,-0.03576119475716651,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.51718667375058
3,6,4.0,prompt-final-only,random_direction,random_02,12,24,0.036270532960366454,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.589218401468113
3,6,4.0,prompt-final-only,random_direction,random_03,12,24,-0.01905567022468957,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.533892198283057
3,6,4.0,prompt-final-only,random_direction,random_04,12,24,-0.055132409895627954,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.4978154586121186
3,6,4.0,prompt-final-only,random_direction,random_05,12,24,0.06877589727486748,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.621723765782614
3,6,4.0,prompt-final-only,random_direction,random_06,12,24,0.0024973596818098263,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.5554452281895563
3,6,4.0,prompt-final-only,random_direction,random_07,12,24,0.04776844136399131,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.6007163098717383
3,6,4.0,prompt-final-only,random_direction,random_08,12,24,-0.06568716640645611,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.4872607021012905
3,6,4.0,prompt-final-only,random_direction,random_09,12,24,-0.014421578958717873,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.538526289549029
3,6,4.0,prompt-final-only,label_permutation,permutation_00,12,24,-0.07217589908193782,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.4807719694258092
3,6,4.0,prompt-final-only,label_permutation,permutation_01,12,24,0.01536836998719889,0.8333333333333334,0.8333333333333334,0.0,0,0,0,2.5529478685077467,2.5683162384949454
