direction_type,position_mode,layer,seed,alpha,split,pair_id,country,correct_capital,false_capital,correct_total_logprob,false_total_logprob,correct_avg_token_logprob,false_avg_token_logprob,correct_completion_tokens,false_completion_tokens,total_margin,avg_token_margin,baseline_total_margin,baseline_avg_token_margin,delta_total_margin,delta_avg_token_margin,prefers_correct_total,prefers_correct_avg_token
learned_probe,completion-internal-only,6,42,-4.0,train,balanced_capital_afghanistan_kazakhstan,Afghanistan,Kabul,Astana,-6.487129211425781,-12.461162745952606,-6.487129211425781,-6.230581372976303,1,2,5.974033534526825,-0.25654783844947815,6.006583213806152,-0.2402784824371338,-0.03254967927932739,-0.01626935601234436,1,0
learned_probe,completion-internal-only,6,42,-4.0,train,balanced_capital_argentina_chile,Argentina,Buenos Aires,Santiago,-8.06782805518742,-9.167981147766113,-4.03391402759371,-9.167981147766113,2,1,1.1001530925786938,5.1340671201724035,1.100161436595954,5.134070815343875,-8.344017260242254e-06,-3.6951714719180018e-06,1,1
learned_probe,completion-internal-only,6,42,-4.0,train,balanced_capital_australia_new_zealand,Australia,Canberra,Wellington,-7.01865291595459,-9.896699905395508,-7.01865291595459,-9.896699905395508,1,1,2.878046989440918,2.878046989440918,2.878045082092285,2.878045082092285,1.9073486328125e-06,1.9073486328125e-06,1,1
learned_probe,completion-internal-only,6,42,-4.0,test,balanced_capital_belgium_austria,Austria,Vienna,Brussels,-7.675661087036133,-9.458610534667969,-7.675661087036133,-9.458610534667969,1,1,1.782949447631836,1.782949447631836,1.7829456329345703,1.7829456329345703,3.814697265625e-06,3.814697265625e-06,1,1
learned_probe,completion-internal-only,6,42,-4.0,train,balanced_capital_bangladesh_sri_lanka,Bangladesh,Dhaka,Sri Jayawardenepura Kotte,-7.553568630479276,-55.782657861709595,-3.776784315239638,-6.972832232713699,2,8,48.22908923123032,3.1960479174740613,48.05881440639496,3.1749969720840454,0.17027482483536005,0.02105094539001584,1,1
learned_probe,completion-internal-only,6,42,-4.0,test,balanced_capital_belgium_austria,Belgium,Brussels,Vienna,-6.8810601234436035,-9.779264450073242,-6.8810601234436035,-9.779264450073242,1,1,2.8982043266296387,2.8982043266296387,2.8982014656066895,2.8982014656066895,2.86102294921875e-06,2.86102294921875e-06,1,1
learned_probe,completion-internal-only,6,42,-4.0,test,balanced_capital_paraguay_bolivia,Bolivia,Sucre,Asuncion,-16.44390118122101,-13.079452669247985,-8.221950590610504,-4.359817556415995,2,3,-3.3644485119730234,-3.8621330341945095,-3.4207017309963703,-3.8808051111797495,0.0562532190233469,0.018672076985239983,0,0
learned_probe,completion-internal-only,6,42,-4.0,train,balanced_capital_mexico_brazil,Brazil,Brasilia,Mexico City,-8.418509557843208,-8.151223957538605,-4.209254778921604,-4.075611978769302,2,2,-0.2672856003046036,-0.1336428001523018,-0.2645282745361328,-0.1322641372680664,-0.002757325768470764,-0.001378662884235382,0,0
learned_probe,completion-internal-only,6,42,-4.0,test,balanced_capital_myanmar_cambodia,Cambodia,Phnom Penh,Naypyidaw,-8.447443874145392,-18.667963564395905,-2.111860968536348,-4.666990891098976,4,4,10.220519690250512,2.555129922562628,10.564134359796299,2.6410335899490747,-0.34361466954578646,-0.08590366738644661,1,1
learned_probe,completion-internal-only,6,42,-4.0,train,balanced_capital_canada_united_states,Canada,Ottawa,"Washington, D.C.",-7.460072040557861,-11.443188269331586,-7.460072040557861,-1.9071980448885977,1,6,3.9831162287737243,-5.552873995669263,3.9351495316950604,-5.560868842546673,0.047966697078663856,0.007994846877409145,1,0
