control_type,direction_index,seed,alpha,position_mode,mean_delta_avg_token_margin,std_delta_avg_token_margin,pairwise_avg_token_accuracy,sign_flip_to_correct,sign_flip_to_false,sign_flip_total
learned_probe,0,42,4.0,prompt-final-only,0.13539891952244335,0.13334616441010716,0.625,0,0,0
random_direction,0,42,4.0,prompt-final-only,-0.029524421678434016,0.04930245179252827,0.625,0,0,0
random_direction,1,42,4.0,prompt-final-only,0.014841893830824404,0.040214669659752386,0.625,0,0,0
random_direction,2,42,4.0,prompt-final-only,0.027369081685123475,0.05860990852117063,0.625,0,0,0
random_direction,3,42,4.0,prompt-final-only,0.05112855043209691,0.07456754955858727,0.625,0,0,0
random_direction,4,42,4.0,prompt-final-only,0.014108045203885089,0.0406759512075346,0.625,0,0,0
random_direction,5,42,4.0,prompt-final-only,-0.030740881357463796,0.06597643552099659,0.625,0,0,0
random_direction,6,42,4.0,prompt-final-only,-0.06642218350504363,0.08335978013397322,0.625,0,0,0
random_direction,7,42,4.0,prompt-final-only,0.12930012924357717,0.14024226621382213,0.625,0,0,0
random_direction,8,42,4.0,prompt-final-only,0.07266303905695519,0.11600910018694763,0.625,0,0,0
random_direction,9,42,4.0,prompt-final-only,0.004458101877907609,0.03787465964213979,0.625,0,0,0
random_direction,10,42,4.0,prompt-final-only,-0.031055984497821692,0.05458588296567784,0.625,0,0,0
random_direction,11,42,4.0,prompt-final-only,0.0191777795592189,0.037508212044995604,0.625,0,0,0
random_direction,12,42,4.0,prompt-final-only,0.04123775169590418,0.08706215568135241,0.625,0,0,0
random_direction,13,42,4.0,prompt-final-only,0.03966158590800558,0.04991275327432688,0.625,0,0,0
random_direction,14,42,4.0,prompt-final-only,0.08600563984799563,0.08961875285729913,0.625,0,0,0
random_direction,15,42,4.0,prompt-final-only,-0.03831136302876276,0.08466501420070738,0.625,0,0,0
random_direction,16,42,4.0,prompt-final-only,-0.005543864496487712,0.03213192056128052,0.625,0,0,0
random_direction,17,42,4.0,prompt-final-only,0.026456978675112947,0.041541108125739225,0.625,0,0,0
random_direction,18,42,4.0,prompt-final-only,-0.007028510287871863,0.04206398446388921,0.625,0,0,0
random_direction,19,42,4.0,prompt-final-only,0.04248148074212723,0.06819419706454143,0.625,0,0,0
random_direction,20,42,4.0,prompt-final-only,0.06630534112540165,0.09133797916538673,0.625,0,0,0
random_direction,21,42,4.0,prompt-final-only,0.010248459614563684,0.041632829552940995,0.625,0,0,0
random_direction,22,42,4.0,prompt-final-only,0.0015328921200408556,0.02954716764930004,0.625,0,0,0
random_direction,23,42,4.0,prompt-final-only,-0.05187323780576967,0.0657672047048211,0.625,0,0,0
random_direction,24,42,4.0,prompt-final-only,-0.01211319031760418,0.04494053348548581,0.625,0,0,0
random_direction,25,42,4.0,prompt-final-only,0.07543505169621005,0.0850355887637344,0.625,0,0,0
random_direction,26,42,4.0,prompt-final-only,-0.07813882122312256,0.0844552521544192,0.625,0,0,0
random_direction,27,42,4.0,prompt-final-only,0.09281009581131155,0.12898791990869238,0.625,0,0,0
random_direction,28,42,4.0,prompt-final-only,0.003092896627286882,0.05868730634259284,0.625,0,0,0
random_direction,29,42,4.0,prompt-final-only,-0.009977903984703421,0.04065627785980389,0.625,0,0,0
random_direction,30,42,4.0,prompt-final-only,0.014309296552457662,0.04663257286546502,0.625,0,0,0
random_direction,31,42,4.0,prompt-final-only,0.0028031259318089807,0.04913738166207373,0.625,0,0,0
random_direction,32,42,4.0,prompt-final-only,-0.03268953452334502,0.05545793749735895,0.625,0,0,0
random_direction,33,42,4.0,prompt-final-only,0.011790145900722063,0.04314944699094202,0.625,0,0,0
random_direction,34,42,4.0,prompt-final-only,-0.009609962619836376,0.05196375307838481,0.625,0,0,0
random_direction,35,42,4.0,prompt-final-only,0.08168768978803957,0.09389134363203822,0.625,0,0,0
random_direction,36,42,4.0,prompt-final-only,0.020394935748486664,0.04019879397538333,0.625,0,0,0
random_direction,37,42,4.0,prompt-final-only,-0.023963147802621487,0.0433534688951497,0.625,0,0,0
random_direction,38,42,4.0,prompt-final-only,-0.011538615829113067,0.04799063484413587,0.625,0,0,0
random_direction,39,42,4.0,prompt-final-only,0.007193992625401584,0.05441375947427441,0.625,0,0,0
random_direction,40,42,4.0,prompt-final-only,-0.06113335758376357,0.10856456757380255,0.625,0,0,0
random_direction,41,42,4.0,prompt-final-only,0.023251649337516406,0.04231470516894129,0.625,0,0,0
random_direction,42,42,4.0,prompt-final-only,-0.03728043348164902,0.056052767011372656,0.625,0,0,0
random_direction,43,42,4.0,prompt-final-only,-0.0032195447871547675,0.04980691751536341,0.625,0,0,0
random_direction,44,42,4.0,prompt-final-only,-0.007640128898052989,0.053209419397518415,0.625,0,0,0
random_direction,45,42,4.0,prompt-final-only,-0.004903535824491416,0.055134841060957784,0.625,0,0,0
random_direction,46,42,4.0,prompt-final-only,0.046780087141014004,0.0666092660490456,0.625,0,0,0
random_direction,47,42,4.0,prompt-final-only,-0.058869867495882834,0.06797778507626964,0.625,0,0,0
random_direction,48,42,4.0,prompt-final-only,0.00997842178100855,0.04662435818340684,0.625,0,0,0
random_direction,49,42,4.0,prompt-final-only,0.048366254131188814,0.07188174490403344,0.625,0,0,0
label_permutation,0,42,4.0,prompt-final-only,0.011751847740730292,0.041362291800007035,0.625,0,0,0
label_permutation,1,42,4.0,prompt-final-only,0.05446276266288297,0.08696645921599566,0.625,0,0,0
label_permutation,2,42,4.0,prompt-final-only,-0.006148638722839291,0.03429574614686622,0.625,0,0,0
label_permutation,3,42,4.0,prompt-final-only,0.009724607189771953,0.03550130776444112,0.625,0,0,0
label_permutation,4,42,4.0,prompt-final-only,-0.05787573550377756,0.07999839399256777,0.625,0,0,0
label_permutation,5,42,4.0,prompt-final-only,0.07829836386262184,0.10285338685130878,0.625,0,0,0
label_permutation,6,42,4.0,prompt-final-only,-0.03883417719839096,0.06653279536031283,0.625,0,0,0
label_permutation,7,42,4.0,prompt-final-only,0.00838339117319468,0.02327836085958805,0.625,0,0,0
label_permutation,8,42,4.0,prompt-final-only,-0.0047923005686748565,0.04141687013499876,0.625,0,0,0
label_permutation,9,42,4.0,prompt-final-only,0.030722791356035655,0.058612775769530806,0.625,0,0,0
label_permutation,10,42,4.0,prompt-final-only,0.05076654122073402,0.07216655882867246,0.625,0,0,0
label_permutation,11,42,4.0,prompt-final-only,-0.005204123337858246,0.044950969750666786,0.625,0,0,0
label_permutation,12,42,4.0,prompt-final-only,0.026568095450824687,0.053036927209864485,0.625,0,0,0
label_permutation,13,42,4.0,prompt-final-only,-0.034123251754762274,0.04188681728917932,0.625,0,0,0
label_permutation,14,42,4.0,prompt-final-only,0.00748815535497821,0.040043665049245704,0.625,0,0,0
label_permutation,15,42,4.0,prompt-final-only,0.03426701666842793,0.06250502918517631,0.625,0,0,0
label_permutation,16,42,4.0,prompt-final-only,0.09614983404263609,0.12212458679280755,0.625,0,0,0
label_permutation,17,42,4.0,prompt-final-only,-0.10257897849566894,0.11686526168102163,0.625,0,0,0
label_permutation,18,42,4.0,prompt-final-only,-0.03511077521098088,0.04080497536888178,0.625,0,0,0
label_permutation,19,42,4.0,prompt-final-only,0.06725448353790854,0.10312062666374378,0.625,0,0,0
