split,direction_type,alpha,countries,blocks,mean_delta_correct_avg_token_logprob,mean_delta_false_avg_token_logprob,mean_delta_avg_token_margin,std_delta_avg_token_margin,median_delta_avg_token_margin,min_delta_avg_token_margin,max_delta_avg_token_margin,baseline_prefers_correct_countries,baseline_prefers_false_countries,mean_delta_margin_when_baseline_prefers_correct,mean_delta_margin_when_baseline_prefers_false,baseline_correct_minus_wrong_delta_margin,baseline_correct_minus_wrong_delta_margin_ci_low,baseline_correct_minus_wrong_delta_margin_ci_high,baseline_preference_diff_bootstrap_samples,mean_delta_correct_when_baseline_prefers_correct,mean_delta_false_when_baseline_prefers_correct,mean_delta_correct_when_baseline_prefers_false,mean_delta_false_when_baseline_prefers_false,sign_flip_to_correct,sign_flip_to_false,sign_flip_total,corr_baseline_margin_delta_margin
all_countries,label_permutation,-4.0,76,38,0.07193596305832135,0.046837766676966285,0.02509854085082023,0.061401675600468504,0.025480616264758248,-0.1574153522960841,0.1482465490698814,54,22,0.018842922216041905,0.04045324113618519,-0.021610318920143284,-0.05585374354934987,0.01065897174120993,5000,0.07005744098301311,0.05121469340662573,0.07654688087953247,0.03609440106780219,0,0,0,-0.28484259012761504
all_countries,label_permutation,-2.0,76,38,0.03610893637134671,0.02368789785284324,0.012421382987968493,0.030732604536969955,0.01271125254993415,-0.0788091401103887,0.0739094536751512,54,22,0.009415022565391264,0.01980063129793079,-0.010385608732539527,-0.02733877979209655,0.005892749742518579,5000,0.035172563480156155,0.02575771555441917,0.03840730619517808,0.018607436221702314,0,0,0,-0.2742205221125347
all_countries,label_permutation,-1.0,76,38,0.018075570964583596,0.011905459460012605,0.006170455974036076,0.015373071276511802,0.0062776665430419,-0.0394274514168504,0.0368917884305126,54,22,0.004698431648129782,0.0097836065921697,-0.005085174944039919,-0.013807774155839416,0.0028851467906425986,5000,0.01760809018790002,0.012909833179424575,0.019223023780079652,0.009440178512365045,0,0,0,-0.268875676977162
all_countries,label_permutation,0.0,76,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,22,0.0,0.0,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0,0,0,
all_countries,label_permutation,1.0,76,38,-0.018086525216462618,-0.012015107843645461,-0.006071417372817309,0.015381506672996302,-0.0059000682958867,-0.0367487847805021,0.0394337632227692,54,22,-0.0046643413667279325,-0.009525149387763963,0.004860808021036031,-0.0030579440999144907,0.013457411385686908,5000,-0.01762115080749387,-0.01295680944076615,-0.019228807856658644,-0.009703658468894679,1,0,1,0.2580203915092911
all_countries,label_permutation,2.0,76,38,-0.03615328938603783,-0.02412592680730557,-0.012027362578732374,0.03076967788754287,-0.011422595591284251,-0.0734972966311033,0.0788658864796154,54,22,-0.00927971097008933,-0.018771598345401663,0.009491887375312332,-0.0073444256213592175,0.0268195796295949,5000,-0.03522464056013646,-0.02594492959004729,-0.03843270014052303,-0.01966110179512134,1,0,1,0.25252030213959803
all_countries,label_permutation,4.0,76,38,-0.07209700352429269,-0.048576485681016114,-0.023520517843276672,0.06155043881724992,-0.0222295804560417,-0.149811151495669,0.1576111587695781,54,22,-0.018298419883828392,-0.036338394652831535,0.018039974769003143,-0.01445264777847409,0.05386619337799282,5000,-0.07024658713014868,-0.05194816724632038,-0.07663893467355526,-0.04030054002072385,1,0,1,0.24141473918592923
all_countries,learned_probe,-4.0,76,38,-0.31183247721152585,-0.18996912180149214,-0.12186301094056852,0.1481150933523543,-0.12834888137876985,-0.4280928956344718,0.2416723405010987,54,22,-0.10273519632327038,-0.16881310136484576,0.06607790504157537,-0.014465970576960427,0.1477692402495292,5000,-0.30977830808690365,-0.20704293712397875,-0.3168745286992349,-0.14806066600993414,0,1,1,0.36864866615041064
all_countries,learned_probe,-2.0,76,38,-0.1552742667961988,-0.09365510642139335,-0.061618815905340074,0.07404255870074275,-0.0668245572596788,-0.2172861099243164,0.121930571086704,54,22,-0.05214472185697385,-0.08487341038769355,0.0327286885307197,-0.006464659118125281,0.07325816797985228,5000,-0.15416579432522692,-0.10202089782859837,-0.15799506286131162,-0.07312089114916288,0,0,0,0.36907625787274606
all_countries,learned_probe,-1.0,76,38,-0.07743695363045305,-0.04645793168076271,-0.030978677480225193,0.03700830289089086,-0.0339648304507136,-0.1099672317504882,0.0611732905264936,54,22,-0.02626716791379716,-0.04254329187054853,0.016276123956751373,-0.003077402992078629,0.036654000411319235,5000,-0.07686230613092064,-0.05059496357746898,-0.07884745203839628,-0.03630339884339276,0,0,0,0.36911543905487565
