component,control,hook_name,layer,n_pairs,n_valid_recovery_pairs,clean_true_minus_false_logit_diff,corrupt_true_minus_false_logit_diff,patched_true_minus_false_logit_diff,mean_clean_minus_corrupt_denominator,mean_abs_clean_minus_corrupt_denominator,median_abs_clean_minus_corrupt_denominator,small_denominator_rate_abs_lt_0_05,mean_recovery,median_recovery,mean_abs_logit_shift,median_abs_logit_shift
resid_pre,matched_clean,blocks.0.hook_resid_pre,0,76,76,1.5470409393310547,1.5210344791412354,1.5291340351104736,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.034593213349580765,0.016376608982682228,0.02192511036992073,0.0005589723587036133
resid_pre,shuffled_clean,blocks.0.hook_resid_pre,0,76,76,1.5470409393310547,1.5210344791412354,1.5286626815795898,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,-0.20580649375915527,0.015536222606897354,0.02241034246981144,0.0005742311477661133
attn_out,matched_clean,blocks.0.hook_attn_out,0,76,76,1.5470409393310547,1.5210344791412354,1.5202605724334717,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.15508019924163818,0.15320329368114471,0.013301720842719078,0.0050476789474487305
attn_out,shuffled_clean,blocks.0.hook_attn_out,0,76,76,1.5470409393310547,1.5210344791412354,1.5207828283309937,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.13259577751159668,0.14766909182071686,0.013812251389026642,0.005905032157897949
mlp_out,matched_clean,blocks.0.hook_mlp_out,0,76,76,1.5470409393310547,1.5210344791412354,1.527820348739624,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.0734984278678894,0.08026161044836044,0.023838451132178307,0.0031287670135498047
mlp_out,shuffled_clean,blocks.0.hook_mlp_out,0,76,76,1.5470409393310547,1.5210344791412354,1.5270787477493286,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,-0.2136174440383911,0.031366754323244095,0.024710750207304955,0.003733396530151367
resid_post,matched_clean,blocks.0.hook_resid_post,0,76,76,1.5470409393310547,1.5210344791412354,1.5346789360046387,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.1577117145061493,0.14588817954063416,0.026908818632364273,0.004722714424133301
resid_post,shuffled_clean,blocks.0.hook_resid_post,0,76,76,1.5470409393310547,1.5210344791412354,1.5342261791229248,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,-0.08004528284072876,0.14110834896564484,0.02840288355946541,0.004998207092285156
resid_pre,matched_clean,blocks.1.hook_resid_pre,1,76,76,1.5470409393310547,1.5210344791412354,1.5346789360046387,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.1577117145061493,0.14588817954063416,0.026908818632364273,0.004722714424133301
resid_pre,shuffled_clean,blocks.1.hook_resid_pre,1,76,76,1.5470409393310547,1.5210344791412354,1.5342261791229248,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,-0.08004528284072876,0.14110834896564484,0.02840288355946541,0.004998207092285156
attn_out,matched_clean,blocks.1.hook_attn_out,1,76,76,1.5470409393310547,1.5210344791412354,1.5236378908157349,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.13567766547203064,0.0623391792178154,0.005950325634330511,0.0037184953689575195
attn_out,shuffled_clean,blocks.1.hook_attn_out,1,76,76,1.5470409393310547,1.5210344791412354,1.5244849920272827,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.11769472807645798,0.009607960470020771,0.008135436102747917,0.0050460100173950195
mlp_out,matched_clean,blocks.1.hook_mlp_out,1,76,76,1.5470409393310547,1.5210344791412354,1.5211881399154663,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.33047962188720703,0.1547875553369522,0.013712449930608273,0.009364962577819824
mlp_out,shuffled_clean,blocks.1.hook_mlp_out,1,76,76,1.5470409393310547,1.5210344791412354,1.5203510522842407,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.2188764065504074,0.09348975121974945,0.01518198847770691,0.012380599975585938
resid_post,matched_clean,blocks.1.hook_resid_post,1,76,76,1.5470409393310547,1.5210344791412354,1.5359535217285156,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.21660254895687103,0.16287517547607422,0.026616422459483147,0.005637526512145996
resid_post,shuffled_clean,blocks.1.hook_resid_post,1,76,76,1.5470409393310547,1.5210344791412354,1.5355205535888672,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.003069220343604684,0.0679585412144661,0.02807682380080223,0.0072983503341674805
resid_pre,matched_clean,blocks.2.hook_resid_pre,2,76,76,1.5470409393310547,1.5210344791412354,1.5359535217285156,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.21660254895687103,0.16287517547607422,0.026616422459483147,0.005637526512145996
resid_pre,shuffled_clean,blocks.2.hook_resid_pre,2,76,76,1.5470409393310547,1.5210344791412354,1.5355205535888672,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.003069220343604684,0.0679585412144661,0.02807682380080223,0.0072983503341674805
attn_out,matched_clean,blocks.2.hook_attn_out,2,76,76,1.5470409393310547,1.5210344791412354,1.522538423538208,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,-0.0008611600496806204,0.005204906687140465,0.002825692994520068,0.0010238885879516602
attn_out,shuffled_clean,blocks.2.hook_attn_out,2,76,76,1.5470409393310547,1.5210344791412354,1.5227323770523071,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.012350335717201233,-9.108942322200164e-05,0.0032997492235153913,0.0015532970428466797
mlp_out,matched_clean,blocks.2.hook_mlp_out,2,76,76,1.5470409393310547,1.5210344791412354,1.5230907201766968,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.10000326484441757,0.09866665303707123,0.005537180695682764,0.005173087120056152
mlp_out,shuffled_clean,blocks.2.hook_mlp_out,2,76,76,1.5470409393310547,1.5210344791412354,1.5235120058059692,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.10442879796028137,0.052644241601228714,0.006273298058658838,0.00528109073638916
resid_post,matched_clean,blocks.2.hook_resid_post,2,76,76,1.5470409393310547,1.5210344791412354,1.5341888666152954,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,0.24005775153636932,0.18459729850292206,0.031100943684577942,0.007188916206359863
resid_post,shuffled_clean,blocks.2.hook_resid_post,2,76,76,1.5470409393310547,1.5210344791412354,1.5333466529846191,0.02600657381117344,0.0757651999592781,0.029728412628173828,0.7236841917037964,-0.07601283490657806,0.11331763863563538,0.033185556530952454,0.007937431335449219
