direction_type,layer,seed,alpha,split,pair_id,country,correct_capital,false_capital,correct_total_logprob,false_total_logprob,correct_avg_token_logprob,false_avg_token_logprob,correct_completion_tokens,false_completion_tokens,total_margin,avg_token_margin,baseline_total_margin,baseline_avg_token_margin,delta_total_margin,delta_avg_token_margin,prefers_correct_total,prefers_correct_avg_token
learned_probe,6,42,-4.0,train,balanced_capital_afghanistan_kazakhstan,Afghanistan,Kabul,Astana,-6.7973222732543945,-12.7704499065876,-6.7973222732543945,-6.3852249532938,1,2,5.973127633333206,-0.4120973199605942,6.006583213806152,-0.2402784824371338,-0.03345558047294617,-0.1718188375234604,1,0
learned_probe,6,42,-4.0,train,balanced_capital_argentina_chile,Argentina,Buenos Aires,Santiago,-8.583600040146848,-9.661018371582031,-4.291800020073424,-9.661018371582031,2,1,1.077418331435183,5.369218351508607,1.100161436595954,5.134070815343875,-0.022743105160770938,0.23514753616473172,1,1
learned_probe,6,42,-4.0,train,balanced_capital_australia_new_zealand,Australia,Canberra,Wellington,-7.397500038146973,-10.224410057067871,-7.397500038146973,-10.224410057067871,1,1,2.8269100189208984,2.8269100189208984,2.878045082092285,2.878045082092285,-0.05113506317138672,-0.05113506317138672,1,1
learned_probe,6,42,-4.0,test,balanced_capital_belgium_austria,Austria,Vienna,Brussels,-8.15373706817627,-9.703892707824707,-8.15373706817627,-9.703892707824707,1,1,1.5501556396484375,1.5501556396484375,1.7829456329345703,1.7829456329345703,-0.2327899932861328,-0.2327899932861328,1,1
learned_probe,6,42,-4.0,train,balanced_capital_bangladesh_sri_lanka,Bangladesh,Dhaka,Sri Jayawardenepura Kotte,-8.031305762007833,-55.90870428085327,-4.015652881003916,-6.988588035106659,2,8,47.87739851884544,2.9729351541027427,48.05881440639496,3.1749969720840454,-0.18141588754951954,-0.20206181798130274,1,1
learned_probe,6,42,-4.0,test,balanced_capital_belgium_austria,Belgium,Brussels,Vienna,-7.299860000610352,-10.040445327758789,-7.299860000610352,-10.040445327758789,1,1,2.7405853271484375,2.7405853271484375,2.8982014656066895,2.8982014656066895,-0.15761613845825195,-0.15761613845825195,1,1
learned_probe,6,42,-4.0,test,balanced_capital_paraguay_bolivia,Bolivia,Sucre,Asuncion,-16.90463411808014,-13.400686159729958,-8.45231705904007,-4.4668953865766525,2,3,-3.5039479583501816,-3.985421672463417,-3.4207017309963703,-3.8808051111797495,-0.08324622735381126,-0.10461656128366759,0,0
learned_probe,6,42,-4.0,train,balanced_capital_mexico_brazil,Brazil,Brasilia,Mexico City,-8.929327934980392,-8.25273472070694,-4.464663967490196,-4.12636736035347,2,2,-0.6765932142734528,-0.3382966071367264,-0.2645282745361328,-0.1322641372680664,-0.41206493973731995,-0.20603246986865997,0,0
learned_probe,6,42,-4.0,test,balanced_capital_myanmar_cambodia,Cambodia,Phnom Penh,Naypyidaw,-8.886890322522959,-18.93054836988449,-2.2217225806307397,-4.732637092471123,4,4,10.043658047361532,2.510914511840383,10.564134359796299,2.6410335899490747,-0.5204763124347664,-0.1301190781086916,1,1
learned_probe,6,42,-4.0,train,balanced_capital_canada_united_states,Canada,Ottawa,"Washington, D.C.",-7.824681282043457,-11.616922838031314,-7.824681282043457,-1.9361538063385524,1,6,3.7922415559878573,-5.888527475704905,3.9351495316950604,-5.560868842546673,-0.14290797570720315,-0.32765863315823207,1,0
learned_probe,6,42,-4.0,train,balanced_capital_argentina_chile,Chile,Santiago,Buenos Aires,-7.777585029602051,-10.622683404071722,-7.777585029602051,-5.311341702035861,1,2,2.8450983744696714,-2.4662433275661897,3.045365314173978,-2.0896749593375716,-0.20026693970430642,-0.37656836822861806,1,0
learned_probe,6,42,-4.0,train,balanced_capital_india_china,China,Beijing,New Delhi,-5.864417552947998,-10.122331023216248,-5.864417552947998,-5.061165511608124,1,2,4.2579134702682495,-0.8032520413398743,4.296523332595825,-0.640609622001648,-0.038609862327575684,-0.16264241933822632,1,0
learned_probe,6,42,-4.0,train,balanced_capital_peru_colombia,Colombia,Bogota,Lima,-8.617028832435608,-10.563892364501953,-4.308514416217804,-10.563892364501953,2,1,1.9468635320663452,6.255377948284149,1.922817051410675,6.025517374277115,0.024046480655670166,0.2298605740070343,1,1
learned_probe,6,42,-4.0,test,balanced_capital_costa_rica_panama,Costa Rica,San Jose,Panama City,-10.569490671157837,-9.744728446006775,-5.2847453355789185,-4.8723642230033875,2,2,-0.824762225151062,-0.412381112575531,-0.7697348594665527,-0.38486742973327637,-0.05502736568450928,-0.02751368284225464,0,0
learned_probe,6,42,-4.0,train,balanced_capital_laos_cuba,Cuba,Havana,Vientiane,-7.595182418823242,-12.62800270318985,-7.595182418823242,-4.209334234396617,1,3,5.032820284366608,-3.3858481844266253,4.876080572605133,-3.2042821049690247,0.1567397117614746,-0.18156607945760062,1,0
learned_probe,6,42,-4.0,train,balanced_capital_czech_republic_hungary,Czech Republic,Prague,Budapest,-7.831150054931641,-7.690739631652832,-7.831150054931641,-7.690739631652832,1,1,-0.1404104232788086,-0.1404104232788086,-0.01117706298828125,-0.01117706298828125,-0.12923336029052734,-0.12923336029052734,0,0
learned_probe,6,42,-4.0,test,balanced_capital_denmark_ireland,Denmark,Copenhagen,Dublin,-7.161490440368652,-9.743152618408203,-7.161490440368652,-9.743152618408203,1,1,2.581662178039551,2.581662178039551,2.8657898902893066,2.8657898902893066,-0.28412771224975586,-0.28412771224975586,1,1
learned_probe,6,42,-4.0,train,balanced_capital_jamaica_dominican_republic,Dominican Republic,Santo Domingo,Kingston,-10.724431811599061,-14.264734268188477,-2.144886362319812,-14.264734268188477,5,1,3.5403024565894157,12.119847905868664,3.6271372872870415,11.878175565367565,-0.08683483069762588,0.24167234050109876,1,1
learned_probe,6,42,-4.0,train,balanced_capital_ecuador_saudi_arabia,Ecuador,Quito,Riyadh,-11.731099598109722,-12.328405380249023,-5.865549799054861,-12.328405380249023,2,1,0.5973057821393013,6.462855581194162,0.7931522689759731,6.500711647793651,-0.19584648683667183,-0.03785606659948826,1,1
learned_probe,6,42,-4.0,train,balanced_capital_turkey_egypt,Egypt,Cairo,Ankara,-5.8230791091918945,-10.269670486450195,-5.8230791091918945,-10.269670486450195,1,1,4.446591377258301,4.446591377258301,4.6851582527160645,4.6851582527160645,-0.23856687545776367,-0.23856687545776367,1,1
learned_probe,6,42,-4.0,train,balanced_capital_ethiopia_nigeria,Ethiopia,Addis Ababa,Abuja,-11.907520535368349,-11.033761739730835,-2.976880133842087,-5.5168808698654175,4,2,-0.8737587956375137,2.5400007360233303,-0.8062763428074504,2.4723658806238973,-0.06748245283006327,0.06763485539943304,0,1
learned_probe,6,42,-4.0,train,balanced_capital_sweden_finland,Finland,Helsinki,Stockholm,-6.7649431228637695,-8.87889289855957,-6.7649431228637695,-8.87889289855957,1,1,2.113949775695801,2.113949775695801,2.2060022354125977,2.2060022354125977,-0.09205245971679688,-0.09205245971679688,1,1
learned_probe,6,42,-4.0,train,balanced_capital_france_germany,France,Paris,Berlin,-6.868958473205566,-8.511608123779297,-6.868958473205566,-8.511608123779297,1,1,1.6426496505737305,1.6426496505737305,1.8545551300048828,1.8545551300048828,-0.21190547943115234,-0.21190547943115234,1,1
learned_probe,6,42,-4.0,train,balanced_capital_france_germany,Germany,Berlin,Paris,-5.617038726806641,-8.640897750854492,-5.617038726806641,-8.640897750854492,1,1,3.0238590240478516,3.0238590240478516,3.23153018951416,3.23153018951416,-0.2076711654663086,-0.2076711654663086,1,1
learned_probe,6,42,-4.0,train,balanced_capital_ghana_south_africa,Ghana,Accra,Pretoria,-11.65561904758215,-13.076341586885974,-5.827809523791075,-6.538170793442987,2,2,1.4207225393038243,0.7103612696519122,1.4959781838115305,0.7479890919057652,-0.07525564450770617,-0.03762782225385308,1,1
learned_probe,6,42,-4.0,test,balanced_capital_greece_norway,Greece,Athens,Oslo,-4.351628303527832,-15.320207595825195,-4.351628303527832,-15.320207595825195,1,1,10.968579292297363,10.968579292297363,11.226164102554321,11.226164102554321,-0.257584810256958,-0.257584810256958,1,1
learned_probe,6,42,-4.0,train,balanced_capital_czech_republic_hungary,Hungary,Budapest,Prague,-5.7293925285339355,-9.721109390258789,-5.7293925285339355,-9.721109390258789,1,1,3.9917168617248535,3.9917168617248535,4.156188011169434,4.156188011169434,-0.16447114944458008,-0.16447114944458008,1,1
