pair_id,component,control,hook_name,layer,clean_diff,corrupt_diff,denominator,patched_diff,recovery,abs_logit_shift
capital_afghanistan,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.591434359550476,1.5507245063781738,0.040709853172302246,1.5511953830718994,0.01156664825975895,0.00047087669372558594
capital_argentina,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5738188028335571,1.5463182926177979,0.027500510215759277,1.5469928979873657,0.024530641734600067,0.0006746053695678711
capital_australia,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.6035467386245728,1.5845593214035034,0.018987417221069336,1.584997534751892,0.02307913266122341,0.0004382133483886719
capital_austria,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5897533893585205,1.5513556003570557,0.038397789001464844,1.5518560409545898,0.01303305383771658,0.0005004405975341797
capital_bangladesh,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5715489387512207,1.5506490468978882,0.02089989185333252,1.551076889038086,0.020471012219786644,0.0004278421401977539
capital_belgium,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.593063473701477,1.5696920156478882,0.023371458053588867,1.5701912641525269,0.0213614534586668,0.0004992485046386719
capital_bolivia,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.58455491065979,1.5295400619506836,0.055014848709106445,1.5305777788162231,0.018862484022974968,0.0010377168655395508
capital_brazil,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.54860520362854,1.5709956884384155,-0.02239048480987549,1.5713592767715454,-0.01623852737247944,0.0003635883331298828
capital_cambodia,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5275251865386963,1.5677305459976196,-0.04020535945892334,1.5681536197662354,-0.010522822849452496,0.00042307376861572266
capital_canada,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5804170370101929,1.536521553993225,0.04389548301696777,1.5368478298187256,0.007433013990521431,0.0003262758255004883
capital_chile,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5971788167953491,1.3958263397216797,0.20135247707366943,1.3979108333587646,0.010352459736168385,0.002084493637084961
capital_china,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5494639873504639,1.5413309335708618,0.00813305377960205,1.5417283773422241,0.04886765405535698,0.0003974437713623047
capital_colombia,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5714006423950195,1.5630615949630737,0.0083390474319458,1.5636969804763794,0.0761939212679863,0.0006353855133056641
capital_costa_rica,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5543855428695679,1.5416710376739502,0.012714505195617676,1.5424555540084839,0.061702415347099304,0.0007845163345336914
capital_cuba,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5651237964630127,1.547866702079773,0.017257094383239746,1.5482730865478516,0.023548822849988937,0.0004063844680786133
capital_czech_republic,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5310953855514526,1.4809911251068115,0.05010426044464111,1.4823170900344849,0.026464110240340233,0.0013259649276733398
capital_denmark,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5797953605651855,1.5514965057373047,0.02829885482788086,1.5520260334014893,0.01871197670698166,0.0005295276641845703
capital_dominican_republic,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.4277153015136719,1.5307697057724,-0.10305440425872803,1.531524658203125,-0.007325766142457724,0.0007549524307250977
capital_ecuador,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5885767936706543,1.5642422437667847,0.02433454990386963,1.564646601676941,0.016616610810160637,0.00040435791015625
capital_egypt,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5825347900390625,1.5896130800247192,-0.007078289985656738,1.589688777923584,-0.010694391094148159,7.56978988647461e-05
capital_ethiopia,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5662524700164795,1.4295146465301514,0.13673782348632812,1.4311939477920532,0.012281174771487713,0.0016793012619018555
capital_finland,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.568756103515625,1.5292303562164307,0.039525747299194336,1.5295026302337646,0.0068885209038853645,0.0002722740173339844
capital_france,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5722870826721191,1.5635852813720703,0.008701801300048828,1.5639731884002686,0.04457773268222809,0.0003879070281982422
capital_germany,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5679898262023926,1.5460032224655151,0.02198660373687744,1.5464048385620117,0.01826639287173748,0.00040161609649658203
capital_ghana,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5710335969924927,1.5456085205078125,0.025425076484680176,1.5462605953216553,0.025646906346082687,0.0006520748138427734
capital_greece,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5665202140808105,1.5489453077316284,0.01757490634918213,1.5496301651000977,0.03896788880228996,0.0006848573684692383
capital_hungary,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5769948959350586,1.5280848741531372,0.04891002178192139,1.528678059577942,0.012128093279898167,0.0005931854248046875
capital_iceland,resid_pre,matched_clean,blocks.0.hook_resid_pre,0,1.5063409805297852,1.565548062324524,-0.05920708179473877,1.5661070346832275,-0.009440973401069641,0.0005589723587036133
